Date/Time,Tb_dead,Model_temp
28/11/18 05:30,16,11
28/11/18 05:35,16,11
28/11/18 05:40,16,11.5
28/11/18 05:45,16,12
28/11/18 05:50,16,13
28/11/18 05:55,16,13.5
28/11/18 06:00,16,14.5
28/11/18 06:05,16,15.5
28/11/18 06:10,16.5,17
28/11/18 06:15,16.5,18.5
28/11/18 06:20,16.5,20
28/11/18 06:25,17,21.5
28/11/18 06:30,17,22.5
28/11/18 06:35,17.5,23
28/11/18 06:40,17.5,24
28/11/18 06:45,18,24.5
28/11/18 06:50,18.5,25
28/11/18 06:55,18.5,26.5
28/11/18 07:00,19,27.5
28/11/18 07:05,19.5,28.5
28/11/18 07:10,20,29.5
28/11/18 07:15,20,30
28/11/18 07:20,20.5,29.5
28/11/18 07:25,21,29.5
28/11/18 07:30,21.5,29
28/11/18 07:35,21.5,29
28/11/18 07:40,22,29.5
28/11/18 07:45,22.5,30
28/11/18 07:50,22.5,31
28/11/18 07:55,23,32
28/11/18 08:00,23.5,33
28/11/18 08:05,24,34
28/11/18 08:10,24,34.5
28/11/18 08:15,24.5,35
28/11/18 08:20,25,35
28/11/18 08:25,25.5,36.5
28/11/18 08:30,26,37
28/11/18 08:35,26,38
28/11/18 08:40,26.5,39
28/11/18 08:45,27,39
28/11/18 08:50,27.5,39.5
28/11/18 08:55,27.5,40
28/11/18 09:00,28,40.5
28/11/18 09:05,28.5,40.5
28/11/18 09:10,28.5,40.5
28/11/18 09:15,29,40.5
28/11/18 09:20,29,41
28/11/18 09:25,29.5,41.5
28/11/18 09:30,29.5,41.5
28/11/18 09:35,29.5,41.5
28/11/18 09:40,30,41.5
28/11/18 09:45,30,42
28/11/18 09:50,30,41.5
28/11/18 09:55,30,41
28/11/18 10:00,30.5,40
28/11/18 10:05,30.5,39
28/11/18 10:10,30.5,38.5
28/11/18 10:15,30.5,38
28/11/18 10:20,31,38
28/11/18 10:25,31,37.5
28/11/18 10:30,31,37.5
28/11/18 10:35,31.5,37.5
28/11/18 10:40,32,38
28/11/18 10:45,32,38
28/11/18 10:50,32.5,38
28/11/18 10:55,33,38
28/11/18 11:00,33,38.5
28/11/18 11:05,33.5,39
28/11/18 11:10,34,39.5
28/11/18 11:15,34,39.5
28/11/18 11:20,34,40
28/11/18 11:25,34.5,40.5
28/11/18 11:30,34.5,40.5
28/11/18 11:35,34.5,40.5
28/11/18 11:40,35,40.5
28/11/18 11:45,35,40.5
28/11/18 11:50,35,40
28/11/18 11:55,35,40
28/11/18 12:00,35,40.5
28/11/18 12:05,35.5,41
28/11/18 12:10,35.5,41
28/11/18 12:15,36,41.5
28/11/18 12:20,36,41
28/11/18 12:25,36,40.5
28/11/18 12:30,36,40
28/11/18 12:35,36,40
28/11/18 12:40,36.5,40
28/11/18 12:45,36.5,40
28/11/18 12:50,37,40
28/11/18 12:55,37,39.5
28/11/18 13:00,37,39.5
28/11/18 13:05,37,39.5
28/11/18 13:10,37,39.5
28/11/18 13:15,37,40
28/11/18 13:20,37,40
28/11/18 13:25,36.5,40
28/11/18 13:30,36.5,40
28/11/18 13:35,36.5,40
28/11/18 13:40,36,40
28/11/18 13:45,36,40
