"","POVI","Date","HR","Tb_predict","Tb_obs"
"1","POVI_16","2019-01-23",10,38.3,36
"2","POVI_16","2019-01-23",11,38.3,36
"3","POVI_16","2019-01-23",12,37.8,36
"4","POVI_16","2019-01-23",13,38,35.5
"5","POVI_16","2019-01-23",14,37.8,35.5
"6","POVI_16","2019-01-23",15,37.9,35.5
"7","POVI_16","2019-01-23",16,38.7,35.5
"8","POVI_16","2019-01-23",17,36.4,38
"9","POVI_16","2019-01-23",18,35.5,35
"10","POVI_16","2019-01-23",19,35.1,34.5
"11","POVI_16","2019-01-23",20,33.5,34
"12","POVI_16","2019-01-23",21,32.5,32.5
"13","POVI_16","2019-01-23",22,31.6,31.5
"14","POVI_16","2019-01-23",23,29.6,31
"15","POVI_16","2019-01-24",0,29.4,29.5
"16","POVI_16","2019-01-24",1,29.8,29
"17","POVI_16","2019-01-24",2,29.2,29
"18","POVI_16","2019-01-24",3,28.8,28.5
"19","POVI_16","2019-01-24",4,28.8,28
"20","POVI_16","2019-01-24",5,29.2,28
"21","POVI_16","2019-01-24",6,31.4,28.5
"22","POVI_16","2019-01-24",7,34.7,30
"23","POVI_16","2019-01-24",8,37.3,34
"24","POVI_16","2019-01-24",9,38.5,34.5
"25","POVI_16","2019-01-24",10,38.5,35
"26","POVI_16","2019-01-24",11,37.2,36
"27","POVI_16","2019-01-24",12,37.2,35.5
"28","POVI_16","2019-01-24",13,37.4,35
"29","POVI_16","2019-01-24",14,37.3,35
"30","POVI_16","2019-01-24",15,37.3,35
"31","POVI_16","2019-01-24",16,38.1,35
"32","POVI_16","2019-01-24",17,39.4,35.5
"33","POVI_16","2019-01-24",18,40.6,36
"34","POVI_16","2019-01-24",19,38.9,39
"35","POVI_16","2019-01-24",20,36.9,38
"36","POVI_16","2019-01-24",21,36.4,36
"37","POVI_16","2019-01-24",22,35.1,35.5
"38","POVI_16","2019-01-24",23,34.5,34.5
"39","POVI_16","2019-01-25",0,34.1,34
"40","POVI_16","2019-01-25",1,34.6,33.5
"41","POVI_16","2019-01-25",2,32.9,33.5
"42","POVI_16","2019-01-25",3,31.9,32
"43","POVI_16","2019-01-25",4,31.4,31.5
"44","POVI_16","2019-01-25",5,31.8,30.5
"45","POVI_16","2019-01-25",6,33.8,31
"46","POVI_16","2019-01-25",7,39.2,32.5
"47","POVI_16","2019-01-25",8,38.8,36.5
"48","POVI_16","2019-01-25",9,38.8,36.5
"49","POVI_16","2019-01-25",10,39.1,36.5
"50","POVI_16","2019-01-25",11,38.9,36.5
"51","POVI_16","2019-01-25",12,39.6,36.5
"52","POVI_16","2019-01-25",13,39.6,36.5
"53","POVI_16","2019-01-25",14,40,36.5
"54","POVI_16","2019-01-25",15,39.5,37
"55","POVI_16","2019-01-25",16,39.5,36.5
"56","POVI_16","2019-01-25",17,39.3,36.5
"57","POVI_16","2019-01-25",18,40.6,36
"58","POVI_16","2019-01-25",19,38.5,39.5
"59","POVI_16","2019-01-25",20,37.3,37.5
"60","POVI_16","2019-01-25",21,35.2,36.5
"61","POVI_16","2019-01-25",22,35.8,35
"62","POVI_16","2019-01-25",23,36.1,35.5
"63","POVI_16","2019-01-26",0,35.5,35
"64","POVI_16","2019-01-26",1,34.6,34.5
"65","POVI_16","2019-01-26",2,34.4,33.5
"66","POVI_16","2019-01-26",3,33.8,33
"67","POVI_16","2019-01-26",4,32.9,33
"68","POVI_16","2019-01-26",5,31.4,32
"69","POVI_16","2019-01-26",6,34.4,31
"70","POVI_16","2019-01-26",7,37.6,33
"71","POVI_16","2019-01-26",8,38.5,37
"72","POVI_16","2019-01-26",9,38.3,36.5
"73","POVI_16","2019-01-26",10,38.6,36.5
"74","POVI_16","2019-01-26",11,38.6,36.5
"75","POVI_16","2019-01-26",12,38.9,36.5
"76","POVI_16","2019-01-26",13,38.7,36.5
"77","POVI_16","2019-01-26",14,39,36.5
"78","POVI_16","2019-01-26",15,38.6,36.5
"79","POVI_16","2019-01-26",16,39,36
"80","POVI_16","2019-01-26",17,39,36
"81","POVI_16","2019-01-26",18,40.4,36.5
"82","POVI_16","2019-01-26",19,40,36.5
"83","POVI_16","2019-01-26",20,38,38.5
"84","POVI_16","2019-01-26",21,35,37
"85","POVI_16","2019-01-26",22,35.1,35
"86","POVI_16","2019-01-26",23,35.1,34
"87","POVI_16","2019-01-27",0,35,34
"88","POVI_16","2019-01-27",1,34,34
"89","POVI_16","2019-01-27",2,33.2,33
"90","POVI_16","2019-01-27",3,33,32
"91","POVI_16","2019-01-27",4,32.4,31.5
"92","POVI_16","2019-01-27",5,32,31.5
"93","POVI_16","2019-01-27",6,35.1,30.5
"94","POVI_16","2019-01-27",7,37.6,34.5
"95","POVI_16","2019-01-27",8,38.8,36.5
"96","POVI_16","2019-01-27",9,38.3,36.5
"97","POVI_16","2019-01-27",10,38.5,36.5
"98","POVI_16","2019-01-27",11,38.4,36.5
"99","POVI_16","2019-01-27",12,38.8,36
"100","POVI_16","2019-01-27",13,38.9,36.5
"101","POVI_16","2019-01-27",14,39.1,36.5
"102","POVI_16","2019-01-27",15,38.8,36.5
"103","POVI_16","2019-01-27",16,39,36.5
"104","POVI_16","2019-01-27",17,39.5,36.5
"105","POVI_16","2019-01-27",18,40.2,36.5
"106","POVI_16","2019-01-27",19,37.6,39
"107","POVI_16","2019-01-27",20,36.2,36.5
"108","POVI_16","2019-01-27",21,34.7,35
"109","POVI_16","2019-01-27",22,34.9,34
"110","POVI_16","2019-01-27",23,33.6,34
"111","POVI_16","2019-01-28",0,31.9,32.5
"112","POVI_16","2019-01-28",1,29.5,31.5
"113","POVI_16","2019-01-28",2,27.3,29.5
"114","POVI_16","2019-01-28",3,26.7,28
"115","POVI_16","2019-01-28",4,27.7,27
"116","POVI_16","2019-01-28",5,27.5,27
"117","POVI_16","2019-01-28",6,32.1,27
"118","POVI_16","2019-01-28",7,35.7,31
"119","POVI_16","2019-01-28",8,36.8,33.5
"120","POVI_16","2019-01-28",9,37.4,34.5
"121","POVI_16","2019-01-28",10,37.8,35
"122","POVI_16","2019-01-28",11,38.2,35.5
"123","POVI_16","2019-01-28",12,38.3,35.5
"124","POVI_16","2019-01-28",13,38.3,36
"125","POVI_16","2019-01-28",14,38.3,36
"126","POVI_16","2019-01-28",15,38.3,36
"127","POVI_16","2019-01-28",16,37.9,36
"128","POVI_16","2019-01-28",17,40.7,35.5
"129","POVI_16","2019-01-28",18,39.4,38
"130","POVI_16","2019-01-28",19,36.9,37.5
"131","POVI_16","2019-01-28",20,34.9,36
"132","POVI_16","2019-01-28",21,33.8,34
"133","POVI_16","2019-01-28",22,32.9,33.5
"134","POVI_16","2019-01-28",23,31.4,32.5
"135","POVI_16","2019-01-29",0,31.9,31
"136","POVI_16","2019-01-29",1,31.8,31.5
"137","POVI_16","2019-01-29",2,30.9,31.5
"138","POVI_16","2019-01-29",3,29.8,30.5
"139","POVI_16","2019-01-29",4,29,29.5
"140","POVI_16","2019-01-29",5,27.9,28.5
"141","POVI_16","2019-01-29",6,30.8,28
"142","POVI_16","2019-01-29",7,34.4,30
"143","POVI_16","2019-01-29",8,38.2,34.5
"144","POVI_16","2019-01-29",9,37.8,36
"145","POVI_16","2019-01-29",10,38,36
"146","POVI_16","2019-01-29",11,37.9,36
"147","POVI_16","2019-01-29",12,38.2,36
"148","POVI_16","2019-01-29",13,38,36
"149","POVI_16","2019-01-29",14,38.5,35.5
"150","POVI_16","2019-01-29",15,38.7,36
"151","POVI_16","2019-01-29",16,38.8,36
"152","POVI_16","2019-01-29",17,38.5,36.5
"153","POVI_16","2019-01-29",18,36.5,36.5
"154","POVI_16","2019-01-29",19,34.4,35
"155","POVI_16","2019-01-29",20,33.6,33.5
"156","POVI_16","2019-01-29",21,32,32.5
"157","POVI_16","2019-01-29",22,30.8,31.5
"158","POVI_16","2019-01-29",23,30.2,30.5
"159","POVI_16","2019-01-30",0,31.5,30
"160","POVI_16","2019-01-30",1,28.8,30.5
"161","POVI_16","2019-01-30",2,28,28
"162","POVI_16","2019-01-30",3,28,27.5
"163","POVI_16","2019-01-30",4,27.9,27
"164","POVI_16","2019-01-30",5,28.4,27
"165","POVI_16","2019-01-30",6,29.6,27.5
"166","POVI_16","2019-01-30",7,31.9,28.5
"167","POVI_16","2019-01-30",8,33.1,30
"168","POVI_16","2019-01-30",9,36.3,31.5
"169","POVI_16","2019-01-30",10,32.3,33.5
"170","POVI_16","2019-01-30",11,38.5,32
"171","POVI_16","2019-01-30",12,40.1,36.5
"172","POVI_16","2019-01-30",13,36.6,38.5
"173","POVI_16","2019-01-30",14,33.8,34.5
"174","POVI_16","2019-01-30",15,33.8,33
"175","POVI_16","2019-01-30",16,33.3,32.5
"176","POVI_16","2019-01-30",17,31.8,32
"177","POVI_16","2019-01-30",18,31.3,30.5
"178","POVI_16","2019-01-30",19,29.3,30
"179","POVI_16","2019-01-30",20,25.7,28.5
"180","POVI_16","2019-01-30",21,26.2,25.5
"181","POVI_16","2019-01-30",22,25.9,25.5
"182","POVI_16","2019-01-30",23,22.4,25
"183","POVI_16","2019-01-31",0,21.6,22.5
"184","POVI_16","2019-01-31",1,22,21.5
"185","POVI_16","2019-01-31",2,22.4,21.5
"186","POVI_16","2019-01-31",3,22.3,21.5
"187","POVI_16","2019-01-31",4,21.9,21.5
"188","POVI_16","2019-01-31",5,21.9,21.5
"189","POVI_16","2019-01-31",6,22.4,21.5
"190","POVI_16","2019-01-31",7,23.3,22
"191","POVI_16","2019-01-31",8,26.6,23
"192","POVI_16","2019-01-31",9,30.5,25.5
"193","POVI_16","2019-01-31",10,35.5,29
"194","POVI_16","2019-01-31",11,37.6,33.5
"195","POVI_16","2019-01-31",12,39.7,36.5
"196","POVI_16","2019-01-31",13,39.7,37
"197","POVI_16","2019-01-31",14,37.5,36
"198","POVI_16","2019-01-31",15,36.5,36
"199","POVI_16","2019-01-31",16,34.4,35
"200","POVI_16","2019-01-31",17,33.4,33
"201","POVI_16","2019-01-31",18,31.7,32.5
"202","POVI_16","2019-01-31",19,30.5,30.5
