"","POVI","Date","HR","Tb_predict","Tb_obs"
"3695","POVI_30","2019-02-14",9,30.6,28
"3696","POVI_30","2019-02-14",10,37.6,31
"3697","POVI_30","2019-02-14",11,35.3,31
"3698","POVI_30","2019-02-14",12,35.2,32
"3699","POVI_30","2019-02-14",13,37.2,34
"3700","POVI_30","2019-02-14",14,36.7,35
"3701","POVI_30","2019-02-14",15,37.4,34.5
"3702","POVI_30","2019-02-14",16,38.6,34.5
"3703","POVI_30","2019-02-14",17,35.7,36.5
"3704","POVI_30","2019-02-14",18,33.1,32
"3705","POVI_30","2019-02-14",19,28.6,30
"3706","POVI_30","2019-02-14",20,25.9,27.5
"3707","POVI_30","2019-02-14",21,23.9,25.5
"3708","POVI_30","2019-02-14",22,22.7,24
"3709","POVI_30","2019-02-14",23,21.8,23
"3710","POVI_30","2019-02-15",0,21.2,22
"3711","POVI_30","2019-02-15",1,20.5,21.5
"3712","POVI_30","2019-02-15",2,20.1,20.5
"3713","POVI_30","2019-02-15",3,19.7,20
"3714","POVI_30","2019-02-15",4,19.2,20
"3715","POVI_30","2019-02-15",5,18.4,19.5
"3716","POVI_30","2019-02-15",6,20.9,19
"3717","POVI_30","2019-02-15",7,27.7,22.5
"3718","POVI_30","2019-02-15",8,33.3,27.5
"3719","POVI_30","2019-02-15",9,37.9,32.5
"3720","POVI_30","2019-02-15",10,36.6,33
"3721","POVI_30","2019-02-15",11,38.4,34.5
"3722","POVI_30","2019-02-15",12,38.9,36
"3723","POVI_30","2019-02-15",13,39.9,37
"3724","POVI_30","2019-02-15",14,41,38
"3725","POVI_30","2019-02-15",15,41.4,38
"3726","POVI_30","2019-02-15",16,41.8,39
"3727","POVI_30","2019-02-15",17,41.5,38.5
"3728","POVI_30","2019-02-15",18,40.1,37.5
"3729","POVI_30","2019-02-15",19,38.6,36
"3730","POVI_30","2019-02-15",20,37.8,35
"3731","POVI_30","2019-02-15",21,36.6,34
"3732","POVI_30","2019-02-15",22,35.5,33
"3733","POVI_30","2019-02-15",23,34.9,32
"3734","POVI_30","2019-02-16",0,34.5,31.5
"3735","POVI_30","2019-02-16",1,33.9,31
"3736","POVI_30","2019-02-16",2,33,30.5
"3737","POVI_30","2019-02-16",3,31.9,29.5
"3738","POVI_30","2019-02-16",4,31,28.5
"3739","POVI_30","2019-02-16",5,31.2,28
"3740","POVI_30","2019-02-16",6,32.4,28
"3741","POVI_30","2019-02-16",7,35.1,31.5
"3742","POVI_30","2019-02-16",8,35.6,31.5
"3743","POVI_30","2019-02-16",9,37.2,33.5
"3744","POVI_30","2019-02-16",10,39.4,35.5
"3745","POVI_30","2019-02-16",11,41.5,37
"3746","POVI_30","2019-02-16",12,42.1,38
"3747","POVI_30","2019-02-16",13,42.4,39
"3748","POVI_30","2019-02-16",14,42.2,39.5
